AUTHOR	DATE	TECHNIQUE	LOCATION	FORM	TYPE	SCHOOL	TIMEFRAME
"AACHEN, Hans von"	1598	"Oil on copper, 56 x 47 cm"	"Alte Pinakothek, Munich"	painting	mythological	German	1601-1650
"AACHEN, Hans von"	-	"Oil on canvas, 163 x 113 cm"	"Kunsthistorisches Museum, Vienna"	painting	mythological	German	1601-1650
"AACHEN, Hans von"	-	"Copperplate, 25 x 20 cm"	"Kunsthistorisches Museum, Vienna"	painting	genre	German	1601-1650
"AACHEN, Hans von"	1590s	"Oil on canvas, 60 x 48 cm"	"Kunsthistorisches Museum, Vienna"	painting	portrait	German	1601-1650
"AACHEN, Hans von"	c. 1596	"Oil on canvas, 53 x 44 cm"	Private collection	painting	portrait	German	1601-1650
"AAGAARD, Carl Frederik"	1888	"Oil on canvas, 53 x 82 cm"	Private collection	painting	landscape	Danish	1851-1900
"AAGAARD, Carl Frederik"	1877	"Oil on canvas, 98 x 80 cm"	Private collection	painting	landscape	Danish	1851-1900
"ABADIA, Juan de la"	c. 1490	"Wood, 127 x 78 cm"	"Museu Nacional d'Art de Catalunya, Barcelona"	painting	religious	Spanish	1451-1500
"ABAQUESNE, Masséot"	c. 1545	Maiolica	"Musée des Beaux-Arts, Rouen"	ceramics	other	French	1501-1550
"ABAQUESNE, Masséot"	1542	Ceramics	"Musée National de la Renaissance, Écouen"	ceramics	other	French	1501-1550
"ABAQUESNE, Masséot"	1557	Ceramics	"Musée du Louvre, Paris"	ceramics	other	French	1501-1550
"ABAQUESNE, Masséot"	-	Ceramic mural composition	"Musée National de la Renaissance, Écouen"	ceramics	religious	French	1501-1550
"ABBATE, Niccolò dell'"	c. 1552	-	"Château, Écouen"	painting	other	Italian	1501-1550
"ABBATE, Niccolò dell'"	c. 1552	Marble	"Château, Écouen"	sculpture	other	Italian	1501-1550
"ABBATE, Niccolò dell'"	1550-52	"Oil on canvas, 116 x 159 cm"	"Galleria Borghese, Rome"	painting	landscape	Italian	1501-1550
"ABBATE, Niccolò dell'"	-	"Oil on canvas, 188 x 237 cm"	"National Gallery, London"	painting	mythological	Italian	1501-1550
"ABBATE, Niccolò dell'"	c. 1570	"Oil on canvas, 196 x 220 cm"	"Musée du Louvre, Paris"	painting	mythological	Italian	1501-1550
"ABBATE, Niccolò dell'"	c. 1555	"Oil on canvas, 127 x 115 cm"	"Musée du Louvre, Paris"	painting	mythological	Italian	1501-1550
"ABBATI, Giuseppe"	1863	"Oil on panel, 10 x 30 cm"	"Galleria dell'Arte Moderna, Palazzo Pitti, Florence"	painting	landscape	Italian	1851-1900
"ABBATI, Giuseppe"	c. 1860	"Oil on canvas, 28 x 37 cm"	"Galleria dell'Arte Moderna, Palazzo Pitti, Florence"	painting	landscape	Italian	1851-1900
"ABBATI, Giuseppe"	1861-62	"Oil on cardboard, 19 x 25 cm"	"Galleria dell'Arte Moderna, Palazzo Pitti, Florence"	painting	landscape	Italian	1851-1900
"ABBATI, Giuseppe"	1865-66	"Oil on panel, 26 x 14 cm"	"Galleria dell'Arte Moderna, Palazzo Pitti, Florence"	painting	portrait	Italian	1851-1900
"ABBATINI, Guido Ubaldo"	c. 1650	"Oil on canvas, 168 x 120 cm"	"Staatliches Museum, Schwerin"	painting	religious	Italian	1601-1650
"ABILDGAARD, Nicolai"	c. 1794	"Oil on canvas, 62 x 78 cm"	"Nationalmuseum, Stockholm"	painting	other	Danish	1751-1800
"ABILDGAARD, Nicolai"	1780	Engraving	"Nationalmuseum, Stockholm"	graphics	religious	Danish	1751-1800
"ABONDIO, Antonio"	c. 1575	Wax on obsidian	"Kunsthistorisches Museum, Vienna"	sculpture	portrait	Italian	1551-1600
"ACHENBACH, Oswald"	1875	"Oil on canvas, 66 x 102 cm"	"The Hermitage, St. Petersburg"	painting	landscape	German	1851-1900
"ADAM, Albrecht"	1815-25	"Oil and gouache on paper, 21 x 30 cm"	"The Hermitage, St. Petersburg"	painting	historical	German	1801-1850
"ADAM, Albrecht"	1828	"Oil on canvas, 69 x 101 cm"	Private collection	painting	genre	German	1801-1850
"ADAM, Lambert-Sigisbert"	c. 1740	"Bronze, height 25,5 cm"	"Institute of Arts, Detroit"	sculpture	other	French	1701-1750
"ADAM, Lambert-Sigisbert"	1740 (completed)	Lead	"Bassin de Naptune, Versailles"	sculpture	mythological	French	1701-1750
"ADAM, Lambert-Sigisbert"	1737	Marble	"Musée du Louvre, Paris"	sculpture	mythological	French	1701-1750
"ADAM, Lambert-Sigisbert"	c. 1740	Drawing	"Ashmolean Museum, Oxford"	graphics	portrait	French	1701-1750
"ADAM, Lambert-Sigisbert"	1737	Terracotta	"The Hermitage, St. Petersburg"	sculpture	other	French	1701-1750
"ADAM, Nicolas-Sébastien"	1747	Bronze	"Chapel of Château, Versailles"	sculpture	religious	French	1701-1750
"ADAM, Nicolas-Sébastien"	1749	Marble	"Notre-Dame de Bon Secours, Nancy"	sculpture	religious	French	1701-1750
"ADAM, Nicolas-Sébastien"	1749 (set up)	Marble	"Notre-Dame de Bon Secours, Nancy"	sculpture	religious	French	1701-1750
"ADAM, Nicolas-Sébastien"	1737	"Marble, height 115 cm"	"Musée du Louvre, Paris"	sculpture	mythological	French	1701-1750
"ADAM, Nicolas-Sébastien"	1737	"Marble, height 115 cm"	"Musée du Louvre, Paris"	sculpture	mythological	French	1701-1750
"ADEMOLLO, Luigi"	1816	Fresco	"Galleria Palatina (Palazzo Pitti), Florence"	painting	religious	Italian	1801-1850
"ADEMOLLO, Luigi"	1816	Fresco	"Galleria Palatina (Palazzo Pitti), Florence"	painting	interior	Italian	1801-1850
"ADEMOLLO, Luigi"	1816	Fresco	"Galleria Palatina (Palazzo Pitti), Florence"	painting	religious	Italian	1801-1850
